Year,SOURCE_DETAIL,SDG Series,Unit of measure,Source details,Value
2014,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",-0.19778
2015,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",-2.43097
2016,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",-1.54367
2017,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",0.89396
2018,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",10.61887
2019,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",255.30499
2020,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",557.20182
2009,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Cash surplus/deficit as a proportion of GDP [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",0.18121
2010,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Cash surplus/deficit as a proportion of GDP [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",2.67686
2011,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Cash surplus/deficit as a proportion of GDP [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",0.82487
2012,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Cash surplus/deficit as a proportion of GDP [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",-0.452
2015,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Cash surplus/deficit as a proportion of GDP [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",-3.03157
2016,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Cash surplus/deficit as a proportion of GDP [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",-8.55872
2017,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Cash surplus/deficit as a proportion of GDP [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",-11.76717
2018,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Cash surplus/deficit as a proportion of GDP [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",-6.83247
2009,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",9.19689
2010,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",17.43492
2011,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",17.92825
2012,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",17.83549
2015,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",17.67336
2016,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",15.45834
2017,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",15.87437
2018,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",13.60313
2010,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",54.45897
2011,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",38.67445
2012,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",58.34569
2013,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-26.84046
2014,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",19.83966
2015,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",15.86864
2016,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",13.13281
2017,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",14.50718
2018,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-2.3418
2010,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",6.82202
2011,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",2.34461
2012,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",23.64468
2013,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-1.20431
2014,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-2.55477
2015,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",19.0809
2016,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-10.50111
2017,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",1.39614
2018,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-22.39322
1977,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-5.09112
1978,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",3.94725
1979,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-16.74789
1980,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",39.28558
1981,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",12.52543
1982,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",2.6343
1983,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",1.58531
1984,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-1.90736
1985,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",6.94498
1986,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",20.80495
1987,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-2.0893
1988,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",6.07864
1989,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",1.22644
1990,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-0.04775
1991,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-4.37996
1992,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-5.32255
1993,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",22.77273
1994,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",9.38993
1995,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",0.48713
1996,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",8.13796
1997,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",5.51772
1998,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-0.67899
1999,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-3.66284
2000,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-7.73231
2001,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",3.27621
2002,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-16.96482
2003,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-20.43725
2004,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-2.05636
2005,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-7.34173
2006,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-8.94245
2007,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-9.78636
2008,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-21.08434
2009,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-3.82415
2010,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",45.77855
2011,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",5.10466
2012,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-3.27435
2013,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-11.87653
2014,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",3.87918
2015,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",48.41123
2016,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",21.00079
2017,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",4.80668
2018,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-30.2134
2010,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the gross capital formation (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",61.11448
2011,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the gross capital formation (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",2.8428
2012,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the gross capital formation (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-17.36393
2013,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the gross capital formation (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-5.47126
2014,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the gross capital formation (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",12.73016
2015,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the gross capital formation (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",5.65384
2016,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the gross capital formation (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",0.63614
2017,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the gross capital formation (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",4.29431
2018,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the gross capital formation (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",160.47866
1977,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",0.55619
1978,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-0.22125
1979,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-4.54556
1980,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",12.28002
1981,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",12.52543
1982,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",2.6343
1983,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",1.58531
1984,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-1.90735
1985,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",6.94334
1986,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",15.15427
1987,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-3.73134
1988,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",13.24465
1989,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",9.58039
1990,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",2.14741
1991,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",20.13453
1992,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",3.49669
1993,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-9.76698
1994,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",13.53384
1995,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",6.17027
1996,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",11.78902
1997,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",23.28062
1998,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-10.00118
1999,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-23.98147
2000,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-2.81998
2001,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-1.48577
2002,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-1.3751
2003,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-18.35576
2004,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-7.24641
2005,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-9.08228
2006,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-6.6806
2007,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-12.66698
2008,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",11.64786
2009,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",52.06704
2010,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",21.11659
2011,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-8.50002
2012,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",19.9054
2013,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-24.52839
2014,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",0.41654
2015,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",80.60597
2016,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-3.27622
2017,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",3.24791
2018,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-33.33157
1961,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",6.31616
1962,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",1.43447
1963,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",6.24434
1964,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-1.10617
1965,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",4.91057
1966,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",1.52313
1967,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",8.36701
1968,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",1.97013
1969,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",12.42824
1970,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",22.56515
1971,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",8.91759
1972,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",8.32977
1973,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",2.60471
1974,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",6.62515
1975,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-1.93122
1976,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",0.46484
1977,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-6.8607
1978,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-2.70692
1979,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",3.29704
1980,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",14.42068
1981,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",12.52542
1982,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",2.6343
1983,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",1.58531
1984,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-1.90736
1985,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",6.94439
